clave|valor
"planning"|"Planeación"
"planningUpdate"|"Actualización de planeación"
"tender"|"Licitación"
"tenderAmendment"|"Enmiendas a ofertas"
"tenderUpdate"|"Actualización de oferta"
"tenderCancellation"|"Cancelación de oferta"
"award"|"Adjudicación"
"awardUpdate"|"Actualización de adjudicación"
"awardCancellation"|"Cancelación de adjudicación"
"contract"|"Contrato"
"contractUpdate"|"Actualización de contrato"
"contractAmendment"|"Enmiendas al contrato"
"implementation"|"Implementación"
"implementationUpdate"|"Actualización de implementación"
"contractTermination"|"Terminación de contrato"
"compiled"|"Registro Compilado"